team_id,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
2715,0.12640582093912392,0.014164874856598234,0.23791102514506685,0.08123791102514502,0.16759804753283333,0.030947775004336087,8.970189846016532e-16,0.31272100584501916,0.02901353965187646
2746,0.10084033613445377,0.11398994345945991,0.14495771440141972,0.014705882352941173,0.2310924360314543,0.1339092162044056,0.054622117531353306,0.20588235388451215,4.191433700009724e-31
2747,0.146049035945815,0.09567198177676536,0.07061503416856646,0.011389521640091427,0.2642369020483346,0.06605922551252788,0.14780062237031336,0.19817767653758536,5.778994676685801e-16
2748,0.16701355980836402,0.07554671755831703,2.145854199312463e-06,0.059642147117296235,0.14907326346043773,0.13518886679467762,0.18490506666228707,0.22862823273992564,4.4952974059969885e-12
2749,0.09896821285577077,0.2508484101693438,0.18109081705275035,0.07559455016096021,0.14739952662297012,0.10949686279621078,6.967013611641573e-34,0.13660162034199388,2.4956011531789435e-28
2750,0.16593895555387395,0.21377345816490884,0.028384279475982533,6.1448961947456235e-27,0.12227074235791834,0.08515283842794759,0.09606977807057973,0.22727457676974977,0.0611353711790393
2751,0.14794520251755752,0.06849314835772262,5.130768542087717e-22,0.00021773260276058918,0.18630136146809356,0.2164383488104035,0.03835616308032467,0.2575342378250725,0.08471380533806512
2752,0.05885464815953107,0.0975341859512792,0.12608695652173912,0.017391304347826084,0.13696043170424863,0.1739132632731431,0.10853271638204878,0.222031061281155,0.05869543237902914
2753,0.05855855855578823,0.21041797855355698,0.05405405509842353,0.024774774774774765,0.10135135409665805,0.10807404917073495,0.09684684580524783,0.31886129798041307,0.02706108596440242
2755,0.15164835759085735,0.25274562071798856,0.33403259987958867,0.0021978021978021974,0.07472527472527471,0.03956043963200687,0.015417943628455319,0.11868295063901534,0.010989010989010986
2756,0.21810955098513557,0.06534419120684397,0.11773624482002001,7.003757489373328e-32,0.22594069399542727,0.027248401385748584,0.1682719856326547,0.17734893197416987,1.7398119327243266e-33
2757,0.13740457997212857,0.14202664075694768,0.05343512434350009,0.0400763358778626,0.16030534369195587,0.12896572565514425,0.15267174588550722,0.08969465648870949,0.09541984732824428
2758,0.22362869198312246,0.1455696202506167,0.10759493670886108,0.025316465186897435,0.10548523206759157,0.052742616033733945,0.10337552742616,0.20464135021345864,0.031645560129558215
2759,0.3452524621862209,0.0994371482128402,4.4962310180879495e-11,0.04690431519699812,0.09568480300155399,0.1519699812389047,0.10127661844456104,0.1594746716697936,4.165102580046481e-12
2760,0.12663756170063828,0.23580786026200834,3.0975796826029063e-29,9.006497153245377e-19,1.534859245134574e-11,0.12227074544445365,0.06550217629062821,0.27292576417679143,0.17685589211013156
2764,0.12179481266726015,0.18803424797241478,9.084657189560367e-19,7.605394620869648e-11,0.35042735031967065,0.006410256414015408,0.03418809330394446,0.19017088028573212,0.1089743589609084
2765,0.13274519767601575,0.20353985809410036,0.03982300924804143,1.9448063453204595e-19,0.1729973820603707,0.10840702238077707,0.20132559838567735,0.10355131268599069,0.03761061946902655
2766,0.1277443767456301,0.17964052991276397,0.053892158939561376,0.0339331488506735,0.17964054638598537,0.10379230599159336,0.04990014716626055,0.20758459562419565,0.06387219038333612
2767,0.07382546888043931,0.11410393000717489,0.1655487003023243,1.9354520675546386e-50,0.40249711597756355,0.06487693865204612,0.09619630061589403,0.08295152661820292,1.894635478149584e-08
2769,0.042944785434092705,0.2065449616999502,6.262795760540981e-08,0.022494887525562366,0.3128834355825093,0.020449897750517018,0.23108378179480052,0.1635981875846102,3.2174375313947346e-39
2770,0.16980658025867654,0.1674849940024966,2.084791773235858e-26,1.80577444489582e-55,0.2809224376953873,0.2241658942524564,0.04612632987286822,0.11110998445547318,0.0003837794626418426
3478,0.144630376708351,0.11157202148035335,0.02892608022828185,0.05783624399310549,0.19835026479129822,2.257305173446487e-09,0.23347481447825338,0.15702729266781576,0.06818290339523579
3483,0.19960474129018332,0.1541501976282351,0.17984189723320165,0.01976284584980238,0.20553352964759072,0.00011587883995498416,0.13833992274143714,0.08300401975973971,0.01964696700985503
4178,0.13907669983125484,0.18465832032790847,0.0847826342610396,0.03478260869565216,0.10000000180662343,0.16967665830957063,0.06309718764683614,0.1891305663189336,0.03479532280218115
