latent_dim,val_mse,best_n_gmm,silhouette
8,0.017188429276552772,10,0.5132452482039681
16,0.01718842788498358,10,0.5449004036653887
32,0.017188430209680236,10,0.5368410342069067
64,0.017188432527157342,10,0.4828472954202296
