player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
333032,111325,88333,5208,6167,211033,1337257,1059256,62839,74888,2534240,0.5275241312970009,0.41857434619230166,0.024678604767974677,0.029222917742722704,0.08324876968301531,0.08339155029567923,0.08287846719394007,0.08234964213225082,-183.1565,183.09811,185.21037,-181.96254,186.09393,-172.20193,167.11436,176.79378,-186.82158,-161.97665,-182.66582,-183.43677,-190.15686,-164.39586,-176.48695,-181.23534
333595,189080,142194,6890,11237,349401,2083882,1566842,77700,123910,3852334,0.5411547190763621,0.40696506306507424,0.01971946273765673,0.03216075512090692,0.09073450416098416,0.0907519711623763,0.08867438867438868,0.09068678879832136,-90.33427,88.970024,90.97676,-89.90369,92.20951,-84.964134,82.5613,86.191154,-91.30159,-79.61526,-90.14418,-91.481514,-93.85484,-81.208084,-86.69519,-89.76588
333614,37710,30646,1731,1856,71943,832176,657388,39616,44215,1573395,0.5241649639297777,0.42597611998387613,0.02406071473249656,0.025798201353849574,0.045314933379477416,0.04661782691500301,0.04369446688206785,0.04197670473821102,-229.45067,226.21835,232.68011,-225.68152,233.29486,-215.09564,210.1672,218.50421,-233.05307,-200.21326,-228.64398,-228.70741,-236.76065,-204.89267,-220.91704,-225.02042
333615,11879,9443,575,782,22679,489185,381212,22881,34304,927582,0.523788526830989,0.4163763834384232,0.02535385158075753,0.03448123814983024,0.024283246624487668,0.02477099356788349,0.02513002054106027,0.022796175373134327,-132.32225,129.85417,134.09831,-129.16331,134.28674,-123.158295,122.213135,125.644066,-134.45004,-115.56269,-132.35536,-132.09589,-136.51273,-118.49219,-127.15772,-129.66185
333616,58430,47106,2786,3598,111920,653548,527032,32074,40350,1253004,0.5220693352394568,0.4208899213724089,0.0248927805575411,0.032147962830593284,0.08940429777154853,0.0893797720062539,0.08686163247490179,0.08916976456009913,-86.61943,85.4145,87.359535,-86.15542,88.45519,-81.430534,79.13558,82.71619,-87.60143,-76.275826,-86.38406,-87.64309,-89.99205,-77.952354,-83.22227,-85.98973
333619,71017,54989,3600,4358,133964,949424,741402,49404,57046,1797276,0.5301200322474695,0.41047594876235405,0.026872891224508078,0.03253112776566839,0.07480008931731238,0.0741689393878085,0.07286859363614283,0.07639448865827578,-159.34012,158.97046,160.41005,-158.05107,161.34592,-148.39285,144.7773,154.15094,-162.2456,-141.22813,-157.44482,-160.72278,-164.79768,-143.01553,-153.27005,-157.88756
333625,82723,65744,3820,4704,156991,1189525,943651,53000,71201,2257377,0.5269282952525941,0.4187755986011937,0.024332605053792894,0.029963501092419312,0.06954288476492718,0.06966982496706939,0.07207547169811321,0.0660664878302271,-185.79062,184.05728,188.88939,-184.2236,189.79889,-176.25917,169.13396,177.53905,-188.25362,-162.41348,-186.68552,-184.06079,-192.47034,-166.45024,-178.31903,-183.19824
333730,124829,91673,4421,7608,228531,1649303,1215428,59072,99102,3022905,0.5462234882794894,0.4011403266952842,0.019345296699353698,0.03329088832587264,0.07568591095753782,0.07542445953195089,0.074840872156013,0.07676938911424593,-205.20769,203.51945,208.24333,-201.12614,208.4564,-189.93365,189.91693,196.96019,-209.5792,-180.16707,-205.79744,-206.51202,-213.58603,-184.36485,-198.48532,-202.26038
333921,81181,64608,3735,4217,153741,1038775,823222,50029,54546,1966572,0.5280374135721766,0.42023923351610826,0.024294105020781703,0.027429247890933452,0.07815070636085775,0.0784818675885727,0.07465669911451359,0.07731089355773109,-195.83366,192.89822,198.38924,-191.50008,198.49513,-182.43906,180.58046,186.29585,-199.54771,-171.37064,-195.75175,-195.42178,-202.49608,-174.91675,-188.26868,-191.76492
334202,149919,115116,5423,8215,278673,1698741,1307905,61079,92731,3160456,0.5379746154094583,0.4130863054547803,0.019460084041152174,0.029478995094609092,0.08825300619694232,0.08801556687985748,0.08878665335057875,0.08858957630134474,-165.53146,165.67216,167.54987,-164.46733,167.94498,-153.97104,150.85118,160.8526,-168.90494,-146.88228,-164.15701,-167.33817,-172.1454,-149.03076,-160.23592,-164.5248
441826,116872,87980,4550,6969,216371,1939620,1459769,73448,118252,3591089,0.5401463227512004,0.4066164134750036,0.021028696082192162,0.032208567691603775,0.06025510151472969,0.060269809812374425,0.06194858947827034,0.05893346412745662,-194.9798,190.50003,198.05348,-190.81586,198.37407,-183.72202,177.66457,183.86963,-197.26152,-168.81635,-194.20757,-191.80261,-199.3898,-172.96535,-186.5508,-189.95377
